# Spelling variants list
# Only add words that are the same in both meaning and pronunciation.
# Format: preferred_form alternate_form1 alternate_form2 ...
acknowledgment acknowledgement
adaptor adapter
advisor adviser
airplane aeroplane
airplanes aeroplanes
aluminum aluminium
ambience ambiance
amok amuck
analog analogue
analogs analogues
analyze analyse
analyzed analysed
analyzes analyses
analyzing analysing
anemia anaemia
anemic anaemic
anesthesia anaesthesia
annex annexe
apologize apologise
appall appal
armor armour
armored armoured
armoring armouring
armors armours
artifact artefact
authorize authorise
authorized authorised
authorizes authorises
authorizing authorising
axe ax
behavior behaviour
behaviors behaviours
bologna baloney
caliber calibre
canceled cancelled
canceling cancelling
carburetor carburettor
carburetors carburettors
center centre
centered centred
centers centres
cesium caesium
check cheque
checker chequer
checks cheques
chili chilli
cipher cypher
ciphered cyphered
ciphering cyphering
ciphers cyphers
civilize civilise
colonization colonisation
colonize colonise
colonized colonised
colonizes colonises
colonizing colonising
color colour
colored coloured
coloring colouring
colors colours
connection connexion
connections connexions
counselor counsellor
cozy cosy
curb kerb
curbs kerbs
defense defence
defenses defences
dialog dialogue
dialogs dialogues
diarrhea diarrhoea
disk disc
disks discs
distill distil
distills distils
doughnuts donuts
doughnut donut
draft draught
drafts draughts
emphasize emphasise
emphasized emphasised
emphasizes emphasises
enclose inclose
encyclopedia encyclopaedia
endeavor endeavour
endeavors endeavours
enology oenology
enroll enrol
enrollment enrolment
enrollments enrolments
eon aeon
equaling equalling
esophagus oesophagus
estrogen oestrogen
eulogize eulogise
favor favour
favored favoured
favoring favouring
favorite favourite
favorites favourites
favors favours
feces faeces
fetal foetal
fetid foetid
fetus foetus
fetuses foetuses
fiber fibre
fibers fibres
flaky flakey
flavor flavour
flavored flavoured
flavoring flavouring
flavors flavours
flutist flautist
flutists flautists
fueling fuelling
fulfill fulfil
fulfills fulfils
furor furore
generalize generalise
generalized generalised
generalizes generalises
generalizing generalising
glamour glamor
glycerin glycerine
gray grey
gynecology gynaecology
harbor harbour
harbored harboured
harboring harbouring
harbors harbours
harmonization harmonisation
harmonize harmonise
harmonized harmonised
harmonizes harmonises
harmonizing harmonising
hematology haematology
heme haem
hemophilia haemophilia
homolog homologue
homologs homologues
honor honour
honored honoured
honoring honouring
honors honours
humor humour
humored humoured
humoring humouring
humors humours
impostor imposter
industrialization industrialisation
industrialize industrialise
industrialized industrialised
industrializes industrialises
industrializing industrialising
ingrain engrain
inquire enquire
inquired enquired
inquires enquires
inquiring enquiring
installment instalment
installments instalments
italicize italicise
italicized italicised
italicizes italicises
jail gaol
jails gaols
jewelry jewellery
judgment judgement
judgments judgements
kilometer kilometre
kilometers kilometres
labor labour
labored laboured
laboring labouring
labors labours
lambaste lambast
lasagna lasagne
leukemia leukaemia
license licence
licensed licenced
licenses licences
licensing licencing
licorice liquorice
likable likeable
linchpin lynchpin
liter litre
liters litres
lodgement lodgment
lodgements lodgments
maneuver manoeuvre
maneuvered manoeuvred
maneuvers manoeuvres
marvelous marvellous
meager meagre
meter metre
meters metres
mike mic
modeling modelling
moisturize moisturise
moisturized moisturised
moisturizer moisturiser
moisturizers moisturisers
moisturizes moisturises
moisturizing moisturising
mold mould
molds moulds
mollusk mollusc
mollusks molluscs
molt moult
molted moulted
molting moulting
molts moults
mom mum
moms mums
monolog monologue
monologs monologues
movable moveable
mustache moustache
mustached moustached
mustaches moustaches
neighbor neighbour
neighbors neighbours
ocher ochre
odor odour
odors odours
offense offence
offenses offences
omelet omelette
omelets omelettes
opossum possum
organize organise
organizes organises
organized organised
organizing organising
organization organisation
organizations organisations
ortholog orthologue
orthopedic orthopaedic
orthopedics orthopaedics
pajamas pyjamas
paralyze paralyse
paralyzed paralysed
paralyzes paralyses
paralyzing paralysing
parlor parlour
parlors parlours
pedagog pedagogue
pedagogs pedagogues
pediatric paediatric
pediatrics paediatrics
pedophile paedophile
pedophiles paedophiles
pixilated pixillated
plow plough
plows ploughs
pom-pom pompon
practice practise
practiced practised
practices practises
practicing practising
pretense pretence
pretenses pretences
program programme
programs programmes
quarreled quarrelled
quarreling quarrelling
racket racquet
realization realisation
realize realise
realized realised
realizes realises
recognize recognise
recognized recognised
recognizing recognising
rigor rigour
rigors rigours
routing routeing
rumor rumour
rumors rumours
saber sabre
sabers sabres
savanna savannah
savior saviour
saviors saviours
savory savoury
signaled signalled
signaling signalling
skeptic sceptic
skeptics sceptics
skillful skilful
specter spectre
story storey
sulfur sulphur
t-shirt tee_shirt
theater theatre
till 'til til
tire tyre
tires tyres
ton tonne
tons tonnes
tranquility tranquillity
traveled travelled
traveler traveller
traveling travelling
tumor tumour
tumors tumours
urbanization urbanisation
valor valour
valorout valourous
vendor vender
vendors venders
vial phial
vice vyce
vices vyces
vigor vigour
vigorous vigourous
vigors vigours
whiskey whisky
willful wilful
wintry wintery
woolen woollen
woolly wooly
yogurt yoghurt
foregone forgone
szechuan sichuan
tehran teheran
barbecue barbeque
